chapter,official,url,local,local_title,match
6. 資料處理,6.1. Inserting Data,https://www.postgresql.org/docs/15/dml-insert.html,the-sql-language/data-manipulation/6.1.-xin-zeng-zi-liao.md,6.1. 新增資料,number-only-review
6. 資料處理,6.2. Updating Data,https://www.postgresql.org/docs/15/dml-update.html,the-sql-language/data-manipulation/6.2.-geng-xin-zi-liao.md,6.2. 更新資料,number-only-review
6. 資料處理,6.3. Deleting Data,https://www.postgresql.org/docs/15/dml-delete.html,the-sql-language/data-manipulation/6.3.-shan-chu-zi-liao.md,6.3. 刪除資料,number-only-review
7. 資料查詢,7.1. Overview,https://www.postgresql.org/docs/15/queries-overview.html,the-sql-language/queries/overview.md,7.1. 概觀,title/path
7. 資料查詢,7.2. Table Expressions,https://www.postgresql.org/docs/15/queries-table-expressions.html,the-sql-language/queries/table-expressions.md,7.2. 資料表表示式,title/path
7. 資料查詢,7.3. Select Lists,https://www.postgresql.org/docs/15/queries-select-lists.html,the-sql-language/queries/select-lists.md,7.3. 取得資料列表,title/path
7. 資料查詢,7.6. LIMIT and OFFSET,https://www.postgresql.org/docs/15/queries-limit.html,the-sql-language/queries/limit-and-offset.md,7.6. LIMIT 和 OFFSET,title/path
7. 資料查詢,7.7. VALUES Lists,https://www.postgresql.org/docs/15/queries-values.html,the-sql-language/queries/values-lists.md,7.7. VALUES 列舉資料,title/path
7. 資料查詢,"7.4. Combining Queries (UNION, INTERSECT, EXCEPT)",https://www.postgresql.org/docs/15/queries-union.html,the-sql-language/queries/combining-queries.md,7.4. 合併查詢結果,number-only-review
7. 資料查詢,7.5. Sorting Rows (ORDER BY),https://www.postgresql.org/docs/15/queries-order.html,the-sql-language/queries/sorting-rows.md,7.5. 資料排序,number-only-review
7. 資料查詢,7.8. WITH Queries (Common Table Expressions),https://www.postgresql.org/docs/15/queries-with.html,,,unmapped-review
8. 資料型別,8.1. Numeric Types,https://www.postgresql.org/docs/15/datatype-numeric.html,the-sql-language/data-types/numeric-types.md,8.1. 數字型別,title/path
8. 資料型別,8.2. Monetary Types,https://www.postgresql.org/docs/15/datatype-money.html,the-sql-language/data-types/monetary-types.md,8.2. 貨幣型別,title/path
8. 資料型別,8.3. Character Types,https://www.postgresql.org/docs/15/datatype-character.html,the-sql-language/data-types/character-types.md,8.3. 字串型別,title/path
8. 資料型別,8.6. Boolean Type,https://www.postgresql.org/docs/15/datatype-boolean.html,the-sql-language/data-types/boolean-type.md,8.6. 布林型別,title/path
8. 資料型別,8.7. Enumerated Types,https://www.postgresql.org/docs/15/datatype-enum.html,the-sql-language/data-types/enumerated-types.md,8.7. 列舉型別,title/path
8. 資料型別,8.8. Geometric Types,https://www.postgresql.org/docs/15/datatype-geometric.html,the-sql-language/data-types/geometric-types.md,8.8. 地理資訊型別,title/path
8. 資料型別,8.9. Network Address Types,https://www.postgresql.org/docs/15/datatype-net-types.html,the-sql-language/data-types/network-address-types.md,8.9. 網路資訊型別,title/path
8. 資料型別,8.10. Bit String Types,https://www.postgresql.org/docs/15/datatype-bit.html,the-sql-language/data-types/bit-string-types.md,8.10. 位元字串型別,title/path
8. 資料型別,8.11. Text Search Types,https://www.postgresql.org/docs/15/datatype-textsearch.html,the-sql-language/data-types/text-search-types.md,8.11. 全文檢索型別,title/path
8. 資料型別,8.12. UUID Type,https://www.postgresql.org/docs/15/datatype-uuid.html,the-sql-language/data-types/uuid-type.md,8.12. UUID 型別,title/path
8. 資料型別,8.13. XML Type,https://www.postgresql.org/docs/15/datatype-xml.html,the-sql-language/data-types/xml-type.md,8.13. XML 型別,title/path
8. 資料型別,8.14. JSON Types,https://www.postgresql.org/docs/15/datatype-json.html,the-sql-language/data-types/json-types.md,8.14. JSON 型別,title/path
8. 資料型別,8.15. Arrays,https://www.postgresql.org/docs/15/arrays.html,the-sql-language/data-types/arrays.md,8.15. 陣列,title/path
8. 資料型別,8.16. Composite Types,https://www.postgresql.org/docs/15/rowtypes.html,the-sql-language/data-types/composite-types.md,8.16. 複合型別,title/path
8. 資料型別,8.17. Range Types,https://www.postgresql.org/docs/15/rangetypes.html,the-sql-language/data-types/range-types.md,8.17. 範圍型別,title/path
8. 資料型別,8.18. Domain Types,https://www.postgresql.org/docs/15/domains.html,the-sql-language/data-types/domain-types.md,8.18. Domain Types,title/path
8. 資料型別,8.19. Object Identifier Types,https://www.postgresql.org/docs/15/datatype-oid.html,the-sql-language/data-types/object-identifier-types.md,8.19. 物件指標型別,title/path
8. 資料型別,8.20. pg_lsn Type,https://www.postgresql.org/docs/15/datatype-pg-lsn.html,the-sql-language/data-types/pg_lsn-type.md,8.20. pg_lsn 型別,title/path
8. 資料型別,8.21. Pseudo-Types,https://www.postgresql.org/docs/15/datatype-pseudo.html,the-sql-language/data-types/pseudo-types.md,8.21. 概念型別,title/path
8. 資料型別,8.4. Binary Data Types,https://www.postgresql.org/docs/15/datatype-binary.html,the-sql-language/data-types/binary.md,8.4. 位元組型別（bytea）,number-only-review
8. 資料型別,8.5. Date/Time Types,https://www.postgresql.org/docs/15/datatype-datetime.html,the-sql-language/data-types/date-time.md,8.5. 日期時間型別,number-only-review
9. 函式及運算子,9.1. Logical Operators,https://www.postgresql.org/docs/15/functions-logical.html,the-sql-language/functions-and-operators/logical-operators.md,9.1. 邏輯運算子,title/path
9. 函式及運算子,9.2. Comparison Functions and Operators,https://www.postgresql.org/docs/15/functions-comparison.html,the-sql-language/functions-and-operators/comparison-functions-and-operators.md,9.2. 比較函式及運算子,title/path
9. 函式及運算子,9.3. Mathematical Functions and Operators,https://www.postgresql.org/docs/15/functions-math.html,the-sql-language/functions-and-operators/mathematical-functions-and-operators.md,9.3. 數學函式及運算子,title/path
9. 函式及運算子,9.4. String Functions and Operators,https://www.postgresql.org/docs/15/functions-string.html,the-sql-language/functions-and-operators/string-functions-and-operators.md,9.4. 字串函式及運算子,title/path
9. 函式及運算子,9.5. Binary String Functions and Operators,https://www.postgresql.org/docs/15/functions-binarystring.html,the-sql-language/functions-and-operators/binary-string-functions-and-operators.md,9.5. 位元字串函式及運算子,title/path
9. 函式及運算子,9.6. Bit String Functions and Operators,https://www.postgresql.org/docs/15/functions-bitstring.html,the-sql-language/functions-and-operators/bit-string-functions-and-operators.md,9.6. 二元字串函式及運算子,title/path
9. 函式及運算子,9.7. Pattern Matching,https://www.postgresql.org/docs/15/functions-matching.html,the-sql-language/functions-and-operators/pattern-matching.md,9.7. 特徵比對,title/path
9. 函式及運算子,9.8. Data Type Formatting Functions,https://www.postgresql.org/docs/15/functions-formatting.html,the-sql-language/functions-and-operators/data-type-formatting-functions.md,9.8. 型別轉換函式,title/path
9. 函式及運算子,9.9. Date/Time Functions and Operators,https://www.postgresql.org/docs/15/functions-datetime.html,the-sql-language/functions-and-operators/date-time-functions-and-operators.md,9.9 日期時間函式及運算子,title/path
9. 函式及運算子,9.10. Enum Support Functions,https://www.postgresql.org/docs/15/functions-enum.html,the-sql-language/functions-and-operators/enum-support-functions.md,9.10. 列舉型別函式,title/path
